K-means Clustering Results (k=3)
==================================================
r-prime.txt
==================================================

Centroids:
Cluster 1: (18.39, 30.85, 53.17)
Cluster 2: (11.82, -54.34, -12.80)
Cluster 3: (-37.04, 32.13, -47.41)

Cluster Assignments:

Cluster 1 (181 points):
(89.0, 64.0, -49.0)
(-34.0, 15.0, 57.0)
(7.0, -28.0, 48.0)
(-46.0, 20.0, 93.0)
(68.0, -4.0, 68.0)
(-56.0, 56.0, 54.0)
(85.0, -38.0, 94.0)
(-36.0, 72.0, 84.0)
(71.0, 50.0, -32.0)
(50.0, 71.0, -15.0)
(-42.0, 16.0, 59.0)
(-78.0, 26.0, 84.0)
(-24.0, -18.0, 77.0)
(70.0, 24.0, 80.0)
(96.0, 86.0, 46.0)
(7.0, -5.0, 27.0)
(-78.0, 65.0, 89.0)
(1.0, 57.0, 84.0)
(92.0, 2.0, 17.0)
(-69.0, 47.0, 65.0)
(48.0, -69.0, 94.0)
(29.0, 0.0, 60.0)
(-40.0, -22.0, 97.0)
(-16.0, 5.0, 8.0)
(-17.0, -62.0, 90.0)
(69.0, 50.0, 78.0)
(88.0, 69.0, 49.0)
(17.0, 32.0, 28.0)
(53.0, -18.0, 53.0)
(-49.0, 19.0, 72.0)
(54.0, 59.0, 72.0)
(-13.0, 5.0, 33.0)
(18.0, 1.0, 78.0)
(25.0, -32.0, 89.0)
(-46.0, 17.0, 29.0)
(29.0, 90.0, 39.0)
(-81.0, -54.0, 95.0)
(86.0, 84.0, 40.0)
(2.0, 60.0, 13.0)
(21.0, 71.0, 93.0)
(-60.0, -8.0, 83.0)
(5.0, 28.0, 71.0)
(-55.0, 2.0, 68.0)
(0.0, 88.0, 57.0)
(80.0, 79.0, 21.0)
(76.0, 61.0, 96.0)
(34.0, 19.0, 78.0)
(-85.0, 13.0, 49.0)
(85.0, -31.0, 74.0)
(-74.0, 31.0, 78.0)
(-71.0, -1.0, 100.0)
(69.0, 68.0, -33.0)
(52.0, 22.0, 46.0)
(15.0, 54.0, -4.0)
(58.0, 40.0, 64.0)
(83.0, -3.0, 62.0)
(100.0, 17.0, 29.0)
(-46.0, 55.0, 24.0)
(-69.0, 17.0, 93.0)
(46.0, 9.0, 76.0)
(61.0, 84.0, -3.0)
(4.0, 72.0, 84.0)
(26.0, -15.0, 49.0)
(-54.0, 97.0, 96.0)
(-11.0, 31.0, 12.0)
(55.0, 10.0, 70.0)
(-25.0, 73.0, 64.0)
(-4.0, 43.0, 8.0)
(-32.0, 48.0, 28.0)
(67.0, 47.0, 48.0)
(-52.0, -9.0, 96.0)
(-70.0, -2.0, 88.0)
(-55.0, 8.0, 34.0)
(-10.0, 65.0, 91.0)
(19.0, 33.0, 99.0)
(68.0, -28.0, 66.0)
(66.0, 70.0, 38.0)
(59.0, 47.0, -16.0)
(9.0, 49.0, 100.0)
(95.0, 67.0, -15.0)
(83.0, -36.0, 75.0)
(-94.0, 19.0, 64.0)
(3.0, 36.0, 5.0)
(65.0, -9.0, 62.0)
(72.0, -22.0, 80.0)
(-7.0, 96.0, 24.0)
(92.0, 59.0, 49.0)
(66.0, -35.0, 73.0)
(77.0, 83.0, 68.0)
(32.0, -63.0, 90.0)
(88.0, 65.0, 46.0)
(-17.0, 43.0, 17.0)
(-43.0, 45.0, 91.0)
(55.0, 24.0, 14.0)
(15.0, 85.0, -8.0)
(61.0, 32.0, 20.0)
(-27.0, -37.0, 75.0)
(43.0, 99.0, 73.0)
(42.0, 68.0, -22.0)
(-67.0, 31.0, 86.0)
(-13.0, 93.0, 100.0)
(93.0, 48.0, 64.0)
(100.0, -16.0, 80.0)
(-76.0, 45.0, 73.0)
(100.0, -2.0, 67.0)
(-22.0, 62.0, 14.0)
(15.0, 37.0, 79.0)
(79.0, 69.0, -33.0)
(80.0, 59.0, -4.0)
(64.0, 39.0, 54.0)
(-8.0, -58.0, 90.0)
(71.0, 27.0, -12.0)
(73.0, 74.0, 82.0)
(-9.0, 38.0, 99.0)
(-4.0, 42.0, 13.0)
(6.0, 32.0, 31.0)
(-6.0, -1.0, 91.0)
(93.0, -33.0, 60.0)
(-72.0, 50.0, 57.0)
(33.0, 63.0, 59.0)
(-88.0, 52.0, 92.0)
(-72.0, 15.0, 88.0)
(-62.0, 32.0, 63.0)
(13.0, 3.0, 43.0)
(-3.0, 67.0, 21.0)
(58.0, 2.0, 96.0)
(-8.0, -7.0, 82.0)
(-84.0, 82.0, 65.0)
(48.0, 76.0, -9.0)
(62.0, -29.0, 73.0)
(-15.0, 39.0, 71.0)
(12.0, 48.0, 62.0)
(76.0, 8.0, 43.0)
(48.0, 20.0, 75.0)
(-3.0, 6.0, 32.0)
(35.0, -18.0, 85.0)
(-78.0, -26.0, 61.0)
(59.0, 46.0, 33.0)
(94.0, 83.0, 9.0)
(-62.0, 56.0, 86.0)
(-27.0, 22.0, 22.0)
(67.0, 46.0, -36.0)
(36.0, -38.0, 67.0)
(20.0, 10.0, 63.0)
(30.0, 88.0, 87.0)
(24.0, 62.0, 30.0)
(-7.0, -21.0, 67.0)
(38.0, 36.0, 21.0)
(14.0, 68.0, 36.0)
(23.0, 55.0, 15.0)
(30.0, 69.0, 100.0)
(-71.0, -4.0, 45.0)
(-43.0, 93.0, 81.0)
(100.0, -36.0, 98.0)
(86.0, 42.0, 5.0)
(89.0, 45.0, 13.0)
(5.0, 66.0, -3.0)
(54.0, 82.0, 60.0)
(9.0, 31.0, 59.0)
(86.0, 69.0, 79.0)
(98.0, 69.0, 77.0)
(-15.0, -36.0, 81.0)
(4.0, 7.0, 30.0)
(21.0, 94.0, 96.0)
(94.0, -9.0, 84.0)
(65.0, 57.0, 75.0)
(-8.0, 13.0, 47.0)
(18.0, -17.0, 99.0)
(27.0, 13.0, 57.0)
(78.0, 90.0, 12.0)
(-27.0, 46.0, 18.0)
(56.0, 96.0, 47.0)
(80.0, 31.0, 68.0)
(37.0, 14.0, 56.0)
(3.0, -8.0, 18.0)
(98.0, 69.0, -19.0)
(39.0, 6.0, 44.0)
(-50.0, 47.0, 46.0)
(91.0, 46.0, 68.0)
(-86.0, 53.0, 76.0)
(68.0, 79.0, 8.0)

Cluster 2 (173 points):
(48.0, -50.0, -48.0)
(-90.0, -51.0, 15.0)
(3.0, -10.0, -27.0)
(-74.0, -97.0, 25.0)
(-6.0, -85.0, -75.0)
(74.0, -81.0, -60.0)
(-67.0, -67.0, 84.0)
(-42.0, -93.0, -33.0)
(49.0, 2.0, -68.0)
(-27.0, -35.0, -48.0)
(18.0, -50.0, 56.0)
(58.0, -77.0, -55.0)
(80.0, 25.0, -68.0)
(-68.0, -89.0, 32.0)
