Q-Prime Dataset - 3D Point Coordinates (Clean Data)
=====================================================================================
Total Points: 488
Format: 10 points per line as (X,Y,Z)
Note: This is the clean dataset with outliers removed
=====================================================================================

(91,-49,68), (-48,10,53), (39,-86,-68), (98,95,22), (-90,86,74), (59,28,-57), (62,9,-38), (91,4,83), (-49,77,-93), (70,-44,-64)
(-67,-45,52), (23,95,-1), (-7,-38,49), (-25,39,37), (-69,30,-89), (64,-99,18), (53,68,43), (-20,-19,70), (8,10,77), (-49,-86,-36)
(-50,59,-2), (9,55,32), (-61,-85,-75), (-81,-68,39), (40,82,99), (-89,-88,4), (-45,-6,52), (99,-77,39), (-17,-74,4), (100,-89,7)
(80,17,48), (-81,-90,-10), (-76,72,-39), (-80,-66,73), (-30,-11,94), (54,98,74), (78,11,-12), (33,20,54), (-1,82,-92), (-89,-62,45)
(-98,33,-72), (58,76,21), (-92,48,-54), (56,-92,77), (-96,9,-88), (-26,9,-59), (-84,-26,-57), (-75,-83,55), (8,39,-95), (-30,25,-18)
(66,60,40), (84,1,-93), (-75,-72,-48), (12,-40,-22), (-41,-63,52), (28,-2,2), (59,-20,79), (-80,31,67), (-84,87,-61), (-64,1,-38)
(-18,-83,-49), (-29,-18,11), (20,-45,68), (27,-39,-99), (34,82,-75), (-74,-95,-46), (-46,93,-75), (-64,42,87), (-66,-91,59), (74,86,38)
(-58,-58,34), (-86,-87,-1), (24,37,-71), (6,90,88), (-48,-13,-58), (-41,-85,40), (-97,-23,-34), (6,-51,72), (34,12,49), (84,26,-17)
(-35,94,99), (-30,65,-26), (48,21,-88), (-33,3,-86), (99,-87,54), (-22,-53,53), (-25,-41,-44), (45,-36,29), (82,7,77), (55,-93,55)
(81,-19,95), (-47,19,-25), (31,-75,-100), (-85,90,75), (52,94,49), (-82,-66,-3), (74,64,76), (-79,95,79), (77,-10,-70), (23,1,26)
(94,64,-52), (98,6,-36), (52,-34,93), (-75,62,25), (66,-83,-6), (19,-44,-32), (-64,76,-73), (-23,95,41), (-44,87,68), (44,-11,-66)
(27,-88,50), (97,58,19), (-73,14,23), (-24,-43,79), (13,90,13), (23,-48,-59), (-80,-30,-81), (53,-41,45), (89,69,-51), (-31,99,74)
(65,-38,46), (17,-70,-55), (-10,47,5), (12,8,30), (-50,-30,-45), (75,-75,78), (59,99,-67), (41,1,-24), (24,64,-83), (15,35,28)
(-92,-23,-63), (59,65,60), (-7,64,27), (30,-8,46), (-10,64,83), (44,70,-96), (72,-14,90), (95,6,81), (-8,-60,88), (-11,-7,-39)
(51,-65,31), (-85,90,50), (30,-10,5), (42,-80,92), (-41,33,80), (56,20,26), (-60,100,-64), (49,36,-74), (95,-4,0), (-35,-87,77)
(-21,6,51), (-25,26,48), (1,50,-48), (-86,15,-30), (-59,95,62), (-38,-62,-62), (-6,44,-94), (-10,37,26), (59,-74,-59), (-8,-10,100)
(96,-15,64), (-1,24,-30), (-27,8,-20), (6,93,27), (-27,-21,61), (60,37,-30), (-1,-29,20), (24,-9,76), (-27,72,51), (-85,-9,2)
(47,-33,71), (-54,68,-40), (52,-46,22), (73,-49,-84), (-79,55,-7), (-61,-51,23), (-13,-85,83), (79,26,-35), (94,-40,31), (-23,9,90)
(-58,39,70), (-91,-3,-49), (-90,39,-86), (84,81,-13), (-13,-52,-7), (-1,4,56), (-26,-88,-80), (-80,69,-17), (-10,46,100), (-81,18,30)
(-100,-32,-93), (38,60,-33), (-70,-35,96), (19,-8,-23), (13,-23,13), (-15,-23,-33), (67,-60,-22), (-31,27,52), (-98,59,-11), (-73,-84,-6)
(-85,-77,82), (-3,-40,27), (81,-85,46), (6,-81,4), (-44,93,49), (31,39,70), (-41,25,-25), (21,-74,-27), (48,-57,-77), (-95,66,-74)
(-94,-25,-63), (49,74,-61), (53,70,-14), (-24,-96,-46), (45,-55,-87), (35,-24,73), (71,12,40), (-43,-49,32), (-50,43,-27), (-54,-82,71)
(29,-69,73), (70,-72,7), (44,-100,-85), (84,9,-12), (-53,-34,50), (-26,-97,0), (49,-28,-63), (9,56,-9), (36,-98,-10), (-86,-18,20)
(10,15,-22), (-67,-46,97), (-72,64,-33), (99,22,48), (47,-8,-39), (65,-98,-68), (-68,-88,53), (74,57,31), (-84,-7,51), (10,34,64)
(34,-67,-67), (64,49,-64), (75,51,-32), (89,57,-21), (58,96,-78), (72,-64,-14), (31,71,3), (-51,-16,-49), (-55,-13,-65), (-1,21,86)
(28,30,-7), (-83,75,2), (-30,29,100), (-3,-28,28), (64,-51,38), (32,-89,55), (-19,-75,14), (-27,-43,-18), (-88,-89,51), (-53,-27,-51)
(25,-12,-95), (51,-13,73), (-4,-29,83), (25,-72,12), (-23,33,48), (96,-2,-44), (-22,-13,4), (90,-43,-77), (32,76,-99), (69,57,70)
